id,group_id,split,signal,condition,disposition,tokens,evidence_items,structured_facts,human_approved,prompt_version,content_sha256
fictional-race-000-position_gain,fictional-race-000,train,position_gain,complete,draft,540,1,1,False,evidence-editor-v2,ef0ef3ac64e6557b7941b20a84935f635bd24a398bf81f0a108cd46cea904ba3
fictional-race-000-record_watch,fictional-race-000,train,record_watch,missing,insufficient_evidence,478,1,0,False,evidence-editor-v2,dac6a7f354c7a41526d1a2bf6b7148d54998240a5c094fcb27c1d62a0c3bf671
fictional-race-000-cutoff_watch,fictional-race-000,train,cutoff_watch,contradictory,insufficient_evidence,601,2,2,False,evidence-editor-v2,c79f86b6bf69f31ef460f6f358998fa0c74e6665c11be01e5c04e989d823ae45
fictional-race-000-pace_change,fictional-race-000,train,pace_change,misleading_hint,draft,584,1,1,False,evidence-editor-v2,4eac71dac752557861ad2ffb8e00cdc4cf198f269acf36a8886d45274ddb82d6
fictional-race-001-position_gain,fictional-race-001,train,position_gain,missing,insufficient_evidence,482,1,0,False,evidence-editor-v2,5c17c260dbd522b829788863154b1c71b1bbd0b060170dd8604a4f4539efe438
fictional-race-001-record_watch,fictional-race-001,train,record_watch,contradictory,insufficient_evidence,604,2,2,False,evidence-editor-v2,f86d2edf34b67e12084438840ab5e19d60474f32b2ee654832738b5288d60718
fictional-race-001-cutoff_watch,fictional-race-001,train,cutoff_watch,misleading_hint,draft,569,1,1,False,evidence-editor-v2,0998b7ca78d46a531b256ad1dd2fe2ef92bf990df5624fc55ade9e8f952aea46
fictional-race-001-pace_change,fictional-race-001,train,pace_change,boundary,draft,565,1,1,False,evidence-editor-v2,8239dde95730e7b2c2dcbaa9e71c6b475a45f061e7875cb11f0491b54d949d3d
fictional-race-002-position_gain,fictional-race-002,train,position_gain,contradictory,insufficient_evidence,594,2,2,False,evidence-editor-v2,c58eadbe02e3533a2cad520e7a95b037709422a86d46c7ac428ce250826e5950
fictional-race-002-record_watch,fictional-race-002,train,record_watch,misleading_hint,draft,571,1,1,False,evidence-editor-v2,b4d808811fb1dbed7dee45698c2d906ac3d7ee017bdf05131a1104f5784776aa
fictional-race-002-cutoff_watch,fictional-race-002,train,cutoff_watch,boundary,draft,547,1,1,False,evidence-editor-v2,77927bf8425dcb729e271cc2a366f6025e601ab6d7ae41636cfd08465de324ce
