variant,id,group_id,content_sha256,signal_supplied_in_input,condition,reference,prediction,correct
base,fictional-race-120-position_gain,fictional-race-120,3f170fcc9a7c7cf9999defb9b3e1078ba9c1bde1c21f41505b7a18b43f439ebc,position_gain,complete,draft,draft,True
base,fictional-race-120-record_watch,fictional-race-120,d957d8fda386fd97a859af8857cb4f87fd8a1a66a9a043dc54481cb289eca8ee,record_watch,missing,insufficient_evidence,insufficient_evidence,True
base,fictional-race-120-cutoff_watch,fictional-race-120,888284b53af0c310e0c804a1409ead60c9c7c17e58411e0ac7b89c279bedd05c,cutoff_watch,contradictory,insufficient_evidence,insufficient_evidence,True
base,fictional-race-120-pace_change,fictional-race-120,19df7d9b86524e026568ac66394b1a2eebea838cc6faf63678b168b73819c591,pace_change,misleading_hint,draft,insufficient_evidence,False
base,fictional-race-121-position_gain,fictional-race-121,695340665e1bcfc8dd0c2c6e2239d2458a6b0f56f4145c7abd025c833b2451b2,position_gain,missing,insufficient_evidence,insufficient_evidence,True
base,fictional-race-121-record_watch,fictional-race-121,41bf2529ba7bcd047f9446fa4d5b560af8d374e33fdc83f5a664933b0bfd05fa,record_watch,contradictory,insufficient_evidence,insufficient_evidence,True
base,fictional-race-121-cutoff_watch,fictional-race-121,20d459f4cbc97cd28157f4cd83515af454f492f530183cd22a6037fc3a57f400,cutoff_watch,misleading_hint,draft,insufficient_evidence,False
base,fictional-race-121-pace_change,fictional-race-121,f26f865fde6dc14c70522b5bedf8d9fed4bf4abbf2f64cb0cb176613718a9033,pace_change,boundary,draft,draft,True
base,fictional-race-122-position_gain,fictional-race-122,2e0cb852d0ee62ad8028685df31555d706d24243809870f1ee9e3d853b516c08,position_gain,contradictory,insufficient_evidence,insufficient_evidence,True
base,fictional-race-122-record_watch,fictional-race-122,e778686b3e06d2eaa4a6d9fd04e9a85139ca8d8dbc9f4e973f1fe37c263ed207,record_watch,misleading_hint,draft,insufficient_evidence,False
base,fictional-race-122-cutoff_watch,fictional-race-122,eeacb36f87d74186047c86f08279decbcc3bc0c145e3b5fc4ad74212aaff15d0,cutoff_watch,boundary,draft,draft,True
base,fictional-race-122-pace_change,fictional-race-122,80464f14f252d16b4dd7f69bc31e308a82ba2c18ac9ed3a63b47da8286c665c5,pace_change,complete,draft,draft,True
base,fictional-race-123-position_gain,fictional-race-123,a419083e86a3949ac0215e60879f359253cdd7b645f7b2afa04cf23ce88ba05f,position_gain,misleading_hint,draft,draft,True
base,fictional-race-123-record_watch,fictional-race-123,a28e019e35c3cfe5b00aae15b0d38f6e32fedede4e3087ef7e73257f627b50f3,record_watch,boundary,draft,draft,True
base,fictional-race-123-cutoff_watch,fictional-race-123,a83580444fde1babe132389157631398236a035b9889ad925c8b640f08a3614f,cutoff_watch,complete,draft,draft,True
base,fictional-race-123-pace_change,fictional-race-123,14ad52353b2385666d42c110e47179e7f5d880672b1a26c8d5cc966ac5665bd2,pace_change,missing,insufficient_evidence,insufficient_evidence,True
base,fictional-race-124-position_gain,fictional-race-124,69c8167c4a7b9440f63a481d65a5a2cc5f4f22bb524906bdec966a886f6b1eca,position_gain,boundary,draft,draft,True
base,fictional-race-124-record_watch,fictional-race-124,1f528e6ef1cb9d6581ac4be1c80adfd932deaecf9b968b41da48410d5720ba41,record_watch,complete,draft,draft,True
base,fictional-race-124-cutoff_watch,fictional-race-124,b05cb34565eda8e5dfcbe7f0217cc64d1df7143aa9c9faaaf803b561230375bb,cutoff_watch,missing,insufficient_evidence,insufficient_evidence,True
base,fictional-race-124-pace_change,fictional-race-124,426a64c68d3c70065a0d95fe77f97d3317d510ae5efbf5401d94cbaae1acae6e,pace_change,contradictory,insufficient_evidence,insufficient_evidence,True
base,fictional-race-125-position_gain,fictional-race-125,69703a468d4fdd2a00a74563d06f340fbd3ec9757d37ec8039b17da87e2d2068,position_gain,complete,draft,draft,True
base,fictional-race-125-record_watch,fictional-race-125,cf66becb543ba6a3be411ff45733047eb87848c6864709fb15c69465d720c0f4,record_watch,missing,insufficient_evidence,insufficient_evidence,True
base,fictional-race-125-cutoff_watch,fictional-race-125,b80287e8ae06b1fca96a08a486194e442e592e45434976ce6e14cc6e0a4ff47f,cutoff_watch,contradictory,insufficient_evidence,insufficient_evidence,True
base,fictional-race-125-pace_change,fictional-race-125,ce4f12cce78aa46ff58892b0dec953d1d664eb0d8c500df96f3410aaa58ed7fb,pace_change,misleading_hint,draft,insufficient_evidence,False
base,fictional-race-126-position_gain,fictional-race-126,610a1cd6f835f099025e35b32d378945e30ad91a8fc5829f3b4852e52dca6aaa,position_gain,missing,insufficient_evidence,insufficient_evidence,True
base,fictional-race-126-record_watch,fictional-race-126,a4c07f0a0155e2fc6862bbacc2dceb40bcdcbb94122bbffeff17f7fc02b066e7,record_watch,contradictory,insufficient_evidence,insufficient_evidence,True
base,fictional-race-126-cutoff_watch,fictional-race-126,ebde9e8915660cc807715795bf232b7262060ebabe3128929fd77828107f9350,cutoff_watch,misleading_hint,draft,insufficient_evidence,False
base,fictional-race-126-pace_change,fictional-race-126,c16673eb9525a1f99a3b48519cd2e59bef890c1c9b98ca8bd31a3d8ccc11273f,pace_change,boundary,draft,draft,True
base,fictional-race-127-position_gain,fictional-race-127,684be9ea11787a22db763a29684fc8c6aa7c17a33a0ec35cf571407f5d7f5a26,position_gain,contradictory,insufficient_evidence,insufficient_evidence,True
base,fictional-race-127-record_watch,fictional-race-127,66e724a71859ccb3587ccbf363e35ed34a9c946f378c9e87f8d0b018eb23d03b,record_watch,misleading_hint,draft,insufficient_evidence,False
base,fictional-race-127-cutoff_watch,fictional-race-127,67bdb877243b4efe54257a91a8345ab7d30a34e6bdbbf9ae58676b98a8d9f2e7,cutoff_watch,boundary,draft,draft,True
base,fictional-race-127-pace_change,fictional-race-127,2a640266b20cd0d0a1207906cb6c4d6bff57a8c550822b85d8e4de66ea24dd6f,pace_change,complete,draft,draft,True
base,fictional-race-128-position_gain,fictional-race-128,c49778b1a692d9abd3bea6b584974eaddfa7aa7e73478d1bc80903ff151a0566,position_gain,misleading_hint,draft,draft,True
base,fictional-race-128-record_watch,fictional-race-128,9f55752f6362bfb313dd3e7cc2ec0050a45b5dffe03497fd7c093236f6591f9c,record_watch,boundary,draft,draft,True
base,fictional-race-128-cutoff_watch,fictional-race-128,4a69e8222e06db5fe7d26fe6a47cf63b3b6194afa7bedf64f802dddf6cd58246,cutoff_watch,complete,draft,draft,True
base,fictional-race-128-pace_change,fictional-race-128,de740d8b13d77f14f5dfe015694de835e3ef9553823ad70ee446b774a1832852,pace_change,missing,insufficient_evidence,insufficient_evidence,True
