id,group_id,signal,condition,schema_valid,citation_ids_valid,structured_claims_supported,required_metric_covered,disposition_correct,numeric_tokens_supported,sensitive_language_absent,projection_not_achievement,automatic_success,failed_checks
fictional-race-120-position_gain,fictional-race-120,position_gain,complete,1,1,1,1,1,1,1,1,1,
fictional-race-120-record_watch,fictional-race-120,record_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-120-cutoff_watch,fictional-race-120,cutoff_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-120-pace_change,fictional-race-120,pace_change,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-121-position_gain,fictional-race-121,position_gain,missing,1,1,1,1,1,1,1,1,1,
fictional-race-121-record_watch,fictional-race-121,record_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-121-cutoff_watch,fictional-race-121,cutoff_watch,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-121-pace_change,fictional-race-121,pace_change,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-122-position_gain,fictional-race-122,position_gain,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-122-record_watch,fictional-race-122,record_watch,misleading_hint,1,1,1,1,0,1,0,0,0,automatic_success;disposition_correct;projection_not_achievement;sensitive_language_absent
fictional-race-122-cutoff_watch,fictional-race-122,cutoff_watch,boundary,1,1,1,1,1,0,1,1,0,automatic_success;numeric_tokens_supported
fictional-race-122-pace_change,fictional-race-122,pace_change,complete,1,1,0,1,1,0,1,1,0,automatic_success;numeric_tokens_supported;structured_claims_supported
fictional-race-123-position_gain,fictional-race-123,position_gain,misleading_hint,1,1,0,1,1,1,0,1,0,automatic_success;sensitive_language_absent;structured_claims_supported
fictional-race-123-record_watch,fictional-race-123,record_watch,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-123-cutoff_watch,fictional-race-123,cutoff_watch,complete,1,1,1,1,1,1,1,1,1,
fictional-race-123-pace_change,fictional-race-123,pace_change,missing,1,1,1,1,1,0,1,1,0,automatic_success;numeric_tokens_supported
fictional-race-124-position_gain,fictional-race-124,position_gain,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-124-record_watch,fictional-race-124,record_watch,complete,1,1,1,1,1,1,1,1,1,
fictional-race-124-cutoff_watch,fictional-race-124,cutoff_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-124-pace_change,fictional-race-124,pace_change,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-125-position_gain,fictional-race-125,position_gain,complete,1,1,1,1,1,1,1,1,1,
fictional-race-125-record_watch,fictional-race-125,record_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-125-cutoff_watch,fictional-race-125,cutoff_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-125-pace_change,fictional-race-125,pace_change,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-126-position_gain,fictional-race-126,position_gain,missing,1,1,1,1,1,1,1,1,1,
fictional-race-126-record_watch,fictional-race-126,record_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-126-cutoff_watch,fictional-race-126,cutoff_watch,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-126-pace_change,fictional-race-126,pace_change,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-127-position_gain,fictional-race-127,position_gain,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-127-record_watch,fictional-race-127,record_watch,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-127-cutoff_watch,fictional-race-127,cutoff_watch,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-127-pace_change,fictional-race-127,pace_change,complete,1,1,1,1,1,1,1,1,1,
fictional-race-128-position_gain,fictional-race-128,position_gain,misleading_hint,1,1,1,1,1,1,0,1,0,automatic_success;sensitive_language_absent
fictional-race-128-record_watch,fictional-race-128,record_watch,boundary,1,1,1,1,1,0,1,1,0,automatic_success;numeric_tokens_supported
fictional-race-128-cutoff_watch,fictional-race-128,cutoff_watch,complete,1,1,1,1,1,1,1,1,1,
fictional-race-128-pace_change,fictional-race-128,pace_change,missing,1,1,1,1,1,1,1,1,1,
fictional-race-129-position_gain,fictional-race-129,position_gain,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-129-record_watch,fictional-race-129,record_watch,complete,1,1,1,1,1,1,1,1,1,
fictional-race-129-cutoff_watch,fictional-race-129,cutoff_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-129-pace_change,fictional-race-129,pace_change,contradictory,1,1,1,1,0,1,1,1,0,automatic_success;disposition_correct
fictional-race-130-position_gain,fictional-race-130,position_gain,complete,1,1,1,1,1,1,1,1,1,
fictional-race-130-record_watch,fictional-race-130,record_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-130-cutoff_watch,fictional-race-130,cutoff_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-130-pace_change,fictional-race-130,pace_change,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-131-position_gain,fictional-race-131,position_gain,missing,1,1,1,1,1,1,1,1,1,
fictional-race-131-record_watch,fictional-race-131,record_watch,contradictory,1,0,1,1,1,1,1,1,0,automatic_success;citation_ids_valid
fictional-race-131-cutoff_watch,fictional-race-131,cutoff_watch,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-131-pace_change,fictional-race-131,pace_change,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-132-position_gain,fictional-race-132,position_gain,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-132-record_watch,fictional-race-132,record_watch,misleading_hint,1,1,1,1,0,1,0,0,0,automatic_success;disposition_correct;projection_not_achievement;sensitive_language_absent
fictional-race-132-cutoff_watch,fictional-race-132,cutoff_watch,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-132-pace_change,fictional-race-132,pace_change,complete,1,1,1,1,1,1,1,1,1,
fictional-race-133-position_gain,fictional-race-133,position_gain,misleading_hint,1,1,1,1,1,0,0,1,0,automatic_success;numeric_tokens_supported;sensitive_language_absent
fictional-race-133-record_watch,fictional-race-133,record_watch,boundary,1,1,1,1,1,0,1,1,0,automatic_success;numeric_tokens_supported
fictional-race-133-cutoff_watch,fictional-race-133,cutoff_watch,complete,1,1,0,1,1,0,1,1,0,automatic_success;numeric_tokens_supported;structured_claims_supported
fictional-race-133-pace_change,fictional-race-133,pace_change,missing,1,1,1,1,1,1,1,1,1,
fictional-race-134-position_gain,fictional-race-134,position_gain,boundary,1,1,1,1,1,0,1,1,0,automatic_success;numeric_tokens_supported
