split,signal,condition,disposition,examples
test,cutoff_watch,boundary,draft,6
test,cutoff_watch,complete,draft,6
test,cutoff_watch,contradictory,insufficient_evidence,6
test,cutoff_watch,misleading_hint,draft,6
test,cutoff_watch,missing,insufficient_evidence,6
test,pace_change,boundary,draft,6
test,pace_change,complete,draft,6
test,pace_change,contradictory,insufficient_evidence,6
test,pace_change,misleading_hint,draft,6
test,pace_change,missing,insufficient_evidence,6
test,position_gain,boundary,draft,6
test,position_gain,complete,draft,6
test,position_gain,contradictory,insufficient_evidence,6
test,position_gain,misleading_hint,draft,6
test,position_gain,missing,insufficient_evidence,6
test,record_watch,boundary,draft,6
test,record_watch,complete,draft,6
test,record_watch,contradictory,insufficient_evidence,6
test,record_watch,misleading_hint,draft,6
test,record_watch,missing,insufficient_evidence,6
train,cutoff_watch,boundary,draft,20
train,cutoff_watch,complete,draft,20
train,cutoff_watch,contradictory,insufficient_evidence,20
train,cutoff_watch,misleading_hint,draft,20
train,cutoff_watch,missing,insufficient_evidence,20
train,pace_change,boundary,draft,20
train,pace_change,complete,draft,20
train,pace_change,contradictory,insufficient_evidence,20
train,pace_change,misleading_hint,draft,20
train,pace_change,missing,insufficient_evidence,20
train,position_gain,boundary,draft,20
train,position_gain,complete,draft,20
train,position_gain,contradictory,insufficient_evidence,20
train,position_gain,misleading_hint,draft,20
train,position_gain,missing,insufficient_evidence,20
train,record_watch,boundary,draft,20
train,record_watch,complete,draft,20
train,record_watch,contradictory,insufficient_evidence,20
train,record_watch,misleading_hint,draft,20
train,record_watch,missing,insufficient_evidence,20
validation,cutoff_watch,boundary,draft,4
validation,cutoff_watch,complete,draft,4
validation,cutoff_watch,contradictory,insufficient_evidence,4
validation,cutoff_watch,misleading_hint,draft,4
validation,cutoff_watch,missing,insufficient_evidence,4
validation,pace_change,boundary,draft,4
validation,pace_change,complete,draft,4
validation,pace_change,contradictory,insufficient_evidence,4
validation,pace_change,misleading_hint,draft,4
validation,pace_change,missing,insufficient_evidence,4
validation,position_gain,boundary,draft,4
validation,position_gain,complete,draft,4
validation,position_gain,contradictory,insufficient_evidence,4
validation,position_gain,misleading_hint,draft,4
validation,position_gain,missing,insufficient_evidence,4
validation,record_watch,boundary,draft,4
validation,record_watch,complete,draft,4
validation,record_watch,contradictory,insufficient_evidence,4
validation,record_watch,misleading_hint,draft,4
validation,record_watch,missing,insufficient_evidence,4
