id,group_id,signal,condition,base_pass,adapter_pass,base_failed_checks,adapter_failed_checks,base_duration_ms,adapter_duration_ms
fictional-race-120-position_gain,fictional-race-120,position_gain,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,27491.268,21850.168
fictional-race-120-record_watch,fictional-race-120,record_watch,missing,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,16567.095,15403.658
fictional-race-120-cutoff_watch,fictional-race-120,cutoff_watch,contradictory,True,True,,,24737.437,18659.352
fictional-race-120-pace_change,fictional-race-120,pace_change,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,21533.469,26416.802
fictional-race-121-position_gain,fictional-race-121,position_gain,missing,True,True,,,20166.59,15597.438
fictional-race-121-record_watch,fictional-race-121,record_watch,contradictory,True,True,,,27153.272,18355.829
fictional-race-121-cutoff_watch,fictional-race-121,cutoff_watch,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,26059.705,25172.746
fictional-race-121-pace_change,fictional-race-121,pace_change,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,25978.088,24711.558
fictional-race-122-position_gain,fictional-race-122,position_gain,contradictory,False,True,sensitive_language_absent,,25038.74,18975.694
fictional-race-122-record_watch,fictional-race-122,record_watch,misleading_hint,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,29104.746,26906.187
fictional-race-122-cutoff_watch,fictional-race-122,cutoff_watch,boundary,False,True,disposition_correct,,24182.174,22611.189
fictional-race-122-pace_change,fictional-race-122,pace_change,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,23218.097,26916.936
fictional-race-123-position_gain,fictional-race-123,position_gain,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,24865.727,22139.345
fictional-race-123-record_watch,fictional-race-123,record_watch,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,28180.64,24048.563
fictional-race-123-cutoff_watch,fictional-race-123,cutoff_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,26253.626,23708.341
fictional-race-123-pace_change,fictional-race-123,pace_change,missing,True,True,,,16828.828,15919.326
fictional-race-124-position_gain,fictional-race-124,position_gain,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,23410.691,19731.673
