id,group_id,signal,condition,base_pass,adapter_pass,base_failed_checks,adapter_failed_checks,base_duration_ms,adapter_duration_ms
fictional-race-120-position_gain,fictional-race-120,position_gain,complete,True,True,,,5251.951,2371.649
fictional-race-120-record_watch,fictional-race-120,record_watch,missing,True,True,,,3016.897,1364.448
fictional-race-120-cutoff_watch,fictional-race-120,cutoff_watch,contradictory,True,True,,,3942.463,1717.992
fictional-race-120-pace_change,fictional-race-120,pace_change,misleading_hint,False,False,disposition_correct;sensitive_language_absent,disposition_correct,3945.88,1388.742
fictional-race-121-position_gain,fictional-race-121,position_gain,missing,True,True,,,3705.252,1376.762
fictional-race-121-record_watch,fictional-race-121,record_watch,contradictory,True,True,,,4336.684,1926.237
fictional-race-121-cutoff_watch,fictional-race-121,cutoff_watch,misleading_hint,False,False,disposition_correct;sensitive_language_absent,disposition_correct,4220.751,1388.316
fictional-race-121-pace_change,fictional-race-121,pace_change,boundary,True,True,,,4837.639,2125.703
fictional-race-122-position_gain,fictional-race-122,position_gain,contradictory,True,True,,,4047.353,1794.246
fictional-race-122-record_watch,fictional-race-122,record_watch,misleading_hint,False,True,disposition_correct;projection_not_achievement;sensitive_language_absent,,4493.137,2219.384
fictional-race-122-cutoff_watch,fictional-race-122,cutoff_watch,boundary,False,True,numeric_tokens_supported,,5154.16,1812.29
fictional-race-122-pace_change,fictional-race-122,pace_change,complete,False,True,numeric_tokens_supported;structured_claims_supported,,5913.313,2123.735
fictional-race-123-position_gain,fictional-race-123,position_gain,misleading_hint,False,True,sensitive_language_absent;structured_claims_supported,,4551.841,1762.577
fictional-race-123-record_watch,fictional-race-123,record_watch,boundary,True,True,,,4341.441,2039.937
fictional-race-123-cutoff_watch,fictional-race-123,cutoff_watch,complete,True,True,,,4402.854,1869.249
fictional-race-123-pace_change,fictional-race-123,pace_change,missing,False,True,numeric_tokens_supported,,3757.578,1431.877
fictional-race-124-position_gain,fictional-race-124,position_gain,boundary,True,True,,,4291.006,1698.259
fictional-race-124-record_watch,fictional-race-124,record_watch,complete,True,True,,,4590.876,2238.108
fictional-race-124-cutoff_watch,fictional-race-124,cutoff_watch,missing,True,True,,,3797.116,1396.114
fictional-race-124-pace_change,fictional-race-124,pace_change,contradictory,True,True,,,5419.317,1866.41
fictional-race-125-position_gain,fictional-race-125,position_gain,complete,True,True,,,4078.251,1707.87
fictional-race-125-record_watch,fictional-race-125,record_watch,missing,True,True,,,2922.548,1337.886
fictional-race-125-cutoff_watch,fictional-race-125,cutoff_watch,contradictory,True,True,,,4174.366,1713.803
fictional-race-125-pace_change,fictional-race-125,pace_change,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,3858.059,2108.966
fictional-race-126-position_gain,fictional-race-126,position_gain,missing,True,True,,,3463.756,1477.788
fictional-race-126-record_watch,fictional-race-126,record_watch,contradictory,True,True,,,3741.556,1690.455
